name-AREA
жизнь | продолжаться-Социальное обслуживание, социальная поддержка и защита граждан
найти | свой | ориентир-Социальное обслуживание, социальная поддержка и защита граждан
общий | развивать | программа | центр | дрессировка | и | кинология | в | г | петрозаводск | по | работа | с | молодёжь | ребёнок | и | они | родитель-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
киноурок | в | школа | россия-Поддержка проектов в области науки, образования, просвещения
общешкольный | волонтёрский | движение | город | якутск | общий | дело | по | профилактика | употребление | психоактивный | вещество-Охрана здоровья граждан, пропаганда здорового образа жизни
вперёд | в | история-Сохранение исторической памяти
урок | живой | история-Сохранение исторической памяти
учебноконсультационный | центр | компьютерный | компетенция | для | пожилое | современник-Социальное обслуживание, социальная поддержка и защита граждан
восприятие | мобильный | лаборатория | артмедиация | для | человек | с | инвалидность-Поддержка проектов в области культуры и искусства
мы | помнить | крепость | измаил-Сохранение исторической памяти
школа | балет | для | детейинвалид | волшебный | страна | танец-Поддержка проектов в области культуры и искусства
краеведческий | выставка | история | о | нефть-Сохранение исторической памяти
центр | обучение | и | сопровождение | родитель | и | ребёнок | с | овз |  | творить | говорить | адаптировать-Поддержка семьи, материнства, отцовства и детства
новый | технология | развитие |  | малое | территория | дальний | восток-Развитие институтов гражданского общества
музыкальный | помощь | udm-Социальное обслуживание, социальная поддержка и защита граждан
международный | медиашкола | медиация-Развитие общественной дипломатии и поддержка соотечественников
нужный | человек-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
лаборатория | robвoсад-Поддержка проектов в области науки, образования, просвещения
помнить | гордиться | наследовать-Сохранение исторической памяти
хоккейный | команда | равный | возможность | для | человек | с | нарушение | слух-Социальное обслуживание, социальная поддержка и защита граждан
николаленивец | доступно | для | весь-Поддержка проектов в области культуры и искусства
мастерская | дополнительный | образование | твой | профиль-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
третий | российский | клубный | фотоконкурс | берег-Поддержка проектов в области культуры и искусства
живой | палеонтология-Поддержка проектов в области науки, образования, просвещения
мировой | улица | марафон | благодарный | потомок-Сохранение исторической памяти
молодёжный | казачий | фестиваль | казачий | тайна-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
создание | центр | комплексный | помощь | ребёнок | с | ограниченный | возможность | и | они | семья | в | п | плесецк-Социальное обслуживание, социальная поддержка и защита граждан
культурнопросветительский | программа | для | одарённый | ребёнок | империя | искусство-Поддержка проектов в области культуры и искусства
автогородок | инновационный | центр | социализация | для | ребёнок | с | инвалидность | и | овз-Поддержка проектов в области науки, образования, просвещения
ознакомление | житель | и | гость | евросоюз | с | походный | быт | русский | воин | на | пример | создание | военноисторический | интерактивный | площадка | бивак | русско-Развитие общественной дипломатии и поддержка соотечественников
твой | регион |  | твой | возможность-Развитие институтов гражданского общества
bloggertime-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
доступный | жизнь-Социальное обслуживание, социальная поддержка и защита граждан
чемпионат | по | технологический | стратегия | metal | cup | устойчивый | развитие | национальный | чемпионат | россия-Поддержка проектов в области науки, образования, просвещения
школа | экологический | воспитание-Охрана окружающей среды и защита животных
кострома |  | город | история | вовлечение | молодёжь | в | изучение | и | сохранение | исторический | наследие | и | городской | исторический | память-Сохранение исторической памяти
заглянуть | в | лесной | школа-Охрана окружающей среды и защита животных
экологический | праздник | быть | чисто | в | татарстан-Охрана окружающей среды и защита животных
любить | оберегать | стерилизовать-Охрана окружающей среды и защита животных
чистый | гора | сочинский | нацпарка-Охрана окружающей среды и защита животных
улучшение | функционирование | образовательный | среда | для | педагог | районный | школа | новосибирский | область | на | пример | маслянинский | район-Поддержка проектов в области науки, образования, просвещения
информирование | о | правильный | утилизация | использовать | автомобильный | покрышка | в | санктпетербург | и | ленинградский | область | на | основа | экологический | сорёв-Охрана окружающей среды и защита животных
живой | свидетель | история-Охрана окружающей среды и защита животных
мастерство | инклюзия | развитие | сервис | поддерживать | трудовой | занятость | для | молодёжь | с | аутизм | и | ментальный | особенность-Социальное обслуживание, социальная поддержка и защита граждан
патриотический | профориентационный | палаточный | смена | супергеройский | смена-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
ребёнок | вместе |  | социальный | интеграция | молодой | инвалид | ребёнок | с | ограниченный | возможность | здоровье | ребёнок | в | трудный | жизненный | ситуация | на | территория | -Поддержка семьи, материнства, отцовства и детства
восток | свыше | изучение | и | продвижение | христианский | культура | восток-Поддержка проектов в области науки, образования, просвещения
школьный | музей | -"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
город | экологический | безопасность-Охрана окружающей среды и защита животных
школа | правовой | грамотность | для | медицинский | работник-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
место | встреча |  | нижний | новгород-Социальное обслуживание, социальная поддержка и защита граждан
правмирра | просвещение | и | взаимопомощь | для | преодоление | социальный | последствие | экономический | кризис-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
конкурс | анималистический | набросок | живой | линия-Поддержка проектов в области культуры и искусства
живой | север-Охрана окружающей среды и защита животных
акселератор | социальный | проект-Развитие институтов гражданского общества
дорогой | добро |  | сокращение | численность | бездомный | животное | гуманный | способ-Охрана окружающей среды и защита животных
центр | социализация | воспитание | и | адаптация | приютский | собака | пора | домой-Охрана окружающей среды и защита животных
день | цыганский | культура-Поддержка проектов в области культуры и искусства
образовательный | проект | я |  | географ-Поддержка проектов в области науки, образования, просвещения
артобъект | дополнить | реальность | лицо | город-Поддержка проектов в области культуры и искусства
проект | сотворить | мастерская | социальный | проектирование | для | малый | город | и | сесть-Развитие институтов гражданского общества
художественноремесленный | мастерская | арт | антоновка-Поддержка проектов в области культуры и искусства
развитие | психологический | и | волонтёрский | помощь | паллиативный | пациент | и | они | семья | создание | отряд | волонтёр | в | удмуртский | республика-Охрана здоровья граждан, пропаганда здорового образа жизни
прогулочный | сквер | для | реабилитация | пациент | имя | св | ксения | петербургский-Охрана здоровья граждан, пропаганда здорового образа жизни
экологический | тропа | полуостров | тервать-Охрана окружающей среды и защита животных
проект | по | развитие | донорство | кровь | вместе | спасать | жизнь-Охрана здоровья граждан, пропаганда здорового образа жизни
доброжелательный | школа |  | школа | для | весь | и | каждый-Поддержка проектов в области науки, образования, просвещения
позитивный | универсальный | профилактика | социальноопасный | заболевание | и | рискованный | поведение | среди | обучаться | в | профессиональный | образовательный | орг-Охрана здоровья граждан, пропаганда здорового образа жизни
нестолица | детскоюношеский | театральный | движение-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
фестивальконкурс | район | нижегородский | область | масленичный | седмица-Поддержка проектов в области культуры и искусства
ii | молодёжный | слёт | инвалид | по | слух | сурдозабfest-Социальное обслуживание, социальная поддержка и защита граждан
достойный | сын | отечество-Сохранение исторической памяти
видеоинтенсив | по | гостеприимство-Поддержка проектов в области науки, образования, просвещения
центр | срочный | адресный | помощь | для | лицо | оказаться | в | трудный | жизненный | ситуация-Социальное обслуживание, социальная поддержка и защита граждан
от | театр | к | развитие | местный | самоуправление-Развитие институтов гражданского общества
психологический | реабилитация | врач | практика | восстановление-Охрана здоровья граждан, пропаганда здорового образа жизни
путь | в | небо |  | проект | по | проведение | общероссийский | викторина | для | школьник | и | общественный | объединение | любитель | авиация | и | космонавтика | в | цель | раз-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
на | крыло | кино | делать | вместе-Поддержка проектов в области культуры и искусства
дендропарк | кедровый | озеро-Поддержка проектов в области науки, образования, просвещения
иван | помнить | родство-Сохранение исторической памяти
создание | площадка | для | занятие | адаптивный | физкультура | движение | в | радость-Охрана здоровья граждан, пропаганда здорового образа жизни
artscience | opera | lab | инновационный | творческий | и | образовательный | проект | о | новый | возможность | в | оперный | театр | о | интеграция | близкий | для | современный | -Поддержка проектов в области культуры и искусства
историкокультурный | ориентирование | мой | город-Поддержка проектов в области культуры и искусства
цикл | лекция | и | круглый | стол | нко | в | искусство-Поддержка проектов в области культуры и искусства
ледокол | -Охрана здоровья граждан, пропаганда здорового образа жизни
движение | без | граница-Охрана здоровья граждан, пропаганда здорового образа жизни
передвижной | межрегиональный | художественный | выставка | артпередвижение |  | настоящий | россия-Поддержка проектов в области культуры и искусства
центр | сельский | гостеприимство | усадьба | как | мастерская | кооперация | город | и | село-Поддержка проектов в области культуры и искусства
этнолагерь | айбагыр-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
проект | поддержка | молодой | художник | творческий | пространство | сверчок-Поддержка проектов в области культуры и искусства
душа | город-Поддержка проектов в области культуры и искусства
сообщество | друг | джаз-Поддержка проектов в области культуры и искусства
второй | фестиваль | документальный | театр | имя | дмитрий | брусникин-Поддержка проектов в области культуры и искусства
прикоснуться | к | история | почувствовать | победа-Сохранение исторической памяти
традиция | человеческий | взаимопомощь | жизнь | настоящий | и | мир | фм | достоевский | создание | документальный | фильм | по | мотив | роман | идиот | или | нет | дорога-Поддержка проектов в области культуры и искусства
экотеатр | под | открытый | небо-Охрана окружающей среды и защита животных
возвращать | имя | и | судьба-Сохранение исторической памяти
инклюзивный | кино | урок | память-Поддержка проектов в области культуры и искусства
совершенствование | защита | право | человек | в | место | принудительный | содержание | через | улучшение | система | работа | общественный | наблюдательный | комиссия | нижий-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
цивилизовать | миграция |  | онлайн | санктпетербург | и | ленинградский | область-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
фестиваль | инвалид | мир |  | для | равный | возможность-Охрана здоровья граждан, пропаганда здорового образа жизни
молодёжный | интегральный | площадка | новосибирский | академгородок-Поддержка проектов в области культуры и искусства
спартакиада | студенческий | отряд | приволжский | федеральный | округ-Охрана здоровья граждан, пропаганда здорового образа жизни
эстафета | память |  | дивизия-Сохранение исторической памяти
сказка | на | дом-Поддержка проектов в области культуры и искусства
донор | кровь | чувашия-Охрана здоровья граждан, пропаганда здорового образа жизни
кино | о | мы | проект | продвижение | и | популяризация | авторский | отечественный | кинематограф-Поддержка проектов в области культуры и искусства
чапаев | свидетель | участник | и | потомок-Поддержка проектов в области культуры и искусства
особенность | национальный | гостеприимство-Укрепление межнационального и межрелигиозного согласия
проект | сохранение | наследие | легендарный | русский | скульптор | владимир | павлович | жариков | мастерская | вп | жариков-Поддержка проектов в области культуры и искусства
профориентация | и | профессиональный | подготовка | воспитанник | и | выпускник | школинтернат | для | ребёнок | с | патология | слух | в | самарский | область-Поддержка проектов в области науки, образования, просвещения
межрегиональный | образовательный | фестиваль | открытый | искусство-Выявление и поддержка молодых талантов в области культуры и искусства
театральный | тихий | дон-Поддержка проектов в области культуры и искусства
мой | выбор |  | мой | вклад | система | развитие | лидер | гражданский | общество | для | сохранение | и | развитие | окружающий | среда-Охрана окружающей среды и защита животных
городской | проект | спасение | домашний | животное | в | санктпетербург | в | связь | с | неблагоприятный | последствие | распространение | коронавирусный | инфекция | covi-Охрана окружающей среды и защита животных
всероссийский | фестиваль | развитие | детский | видео |  | блогинга | мой | влог-Выявление и поддержка молодых талантов в области культуры и искусства
молодёжный | инклюзивный | пространство | кубань | патриотический | воспитание-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
всероссийский | акция | время | карьера-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
забота | как | профессия | обучение | уход | за | тяжелобольной | и | нуждаться | в | паллиативный | помощь | человек-Охрана здоровья граждан, пропаганда здорового образа жизни
культурный | дипломатия | россия |  | сирия-Развитие общественной дипломатии и поддержка соотечественников
святой | наш | время-Сохранение исторической памяти
образовательный | проект | искусственный | интеллект | быстрый | старт | с | нуль-Поддержка проектов в области науки, образования, просвещения
пиктодидактик | типография | с | адаптировать | трудовой | место-Социальное обслуживание, социальная поддержка и защита граждан
мой | призвание |  | инженерия | развитие | инженерный | навык | xxi | век | учиться | старший | класс | школа | спо | и | студент | вуз | удмуртский | республика-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
создание | комната | сенсорный | интеграция | и | терапевтический | пространство | для | ребёнок | с | особенность | в | развитие | и | они | родитель | особый | среда | на | база | семья-Социальное обслуживание, социальная поддержка и защита граждан
психоэмоциональный | поддержка | и | социальный | адаптация | ребёнок | в | трудный | жизненный | ситуация-Поддержка семьи, материнства, отцовства и детства
дорога | память | и | сталинградский | слава-Социальное обслуживание, социальная поддержка и защита граждан
родительство | грань | мастерство-Поддержка проектов в области науки, образования, просвещения
монтессорикласс | в | школа | ранний | помощь | для | ребёнок | с | тяжёлый | множественный | нарушение | развитие | особый | ребёнок-Поддержка проектов в области науки, образования, просвещения
создание | и | распространение | цикл | документальный | фильм | живой | нить | традиция | малый | город | владимирский | область-Поддержка проектов в области культуры и искусства
научнопрактический | программа | друг | малый | река-Охрана окружающей среды и защита животных
международный | детский | кинообразовательный | фестиваль | киношкола-Выявление и поддержка молодых талантов в области культуры и искусства
психологический | помощь | онлайн-Охрана здоровья граждан, пропаганда здорового образа жизни
экотропа | аргамачскорняковый-Охрана здоровья граждан, пропаганда здорового образа жизни
мастерская | инклюзивный | искусство | узел-Поддержка проектов в области культуры и искусства
богатырский | наш | сила-Поддержка проектов в области науки, образования, просвещения
виток | история | мой | профессия |  | небо-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
инженер | будущее-Поддержка проектов в области науки, образования, просвещения
национальный | артпроект | танцевать | порусски-Поддержка проектов в области культуры и искусства
онлайншкола | незавалинка | возможность | для | развитие | малый | город | и | сельский | территория-Развитие институтов гражданского общества
яркий | мир | спорт-Охрана здоровья граждан, пропаганда здорового образа жизни
фестиваль | легенда | башкирия | архангельский | район | дкрасный | регизло | архангельский | район | республика | башкорстостать-Охрана окружающей среды и защита животных
профилактика | нарушение | репродуктивный | здоровье | или | прививка | семейный | счастие-Охрана здоровья граждан, пропаганда здорового образа жизни
театр | удивительный | зритель | вопреки | весь-Поддержка проектов в области культуры и искусства
курс | финансовый | грамотность | для | ребёнок | и | подросток | азбука | деньга-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
площадка | живой | наследие | стекольный | двор-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
бфмша | решать | вместе-Поддержка проектов в области науки, образования, просвещения
проект | школа | выживание-Поддержка семьи, материнства, отцовства и детства
сохранять | наследие | казачество |  | создавать | патриот | отечество-Сохранение исторической памяти
дорога | потёмкин | по | памятный | место | князясозидатель-Развитие общественной дипломатии и поддержка соотечественников
сделать | школа | доступный | для | ребёнок | из | семья | мигрант | и | беженец-Укрепление межнационального и межрелигиозного согласия
музыкальный | шедевр | эпоха | пётр | i-Поддержка проектов в области культуры и искусства
патриотический | военноспортивный | лагерь | традиционный | воинский | культура | полевой | стан |  | новый | достижение | к | юбилей | великий | победа-Сохранение исторической памяти
образовательный | программа | мастерская | урбанистика | не | столица | для | молодёжь | из | малый | город | и | сельский | местность | минусинский | район | красноярский | край | -"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
экоребёнок | нести | добро | планета-Охрана окружающей среды и защита животных
международный | студенческий | биотурнир-Поддержка проектов в области науки, образования, просвещения
саратовский | областной | центр | помощь | дольщик-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
калужский | областной | портал | гражданский | инициатива | калугаголосый |  | единый | цифровой | платформа | для | тосова | калужский | область | цифровой | тос | цифровой | под-Развитие институтов гражданского общества
здоровье | начинаться | с | приключение-Охрана здоровья граждан, пропаганда здорового образа жизни
этнофестиваль | для | ребёнок | дошкольный | возраст | зажечь | костёр | дружба-Укрепление межнационального и межрелигиозного согласия
просветительский | проект | ребёнок | о | белгородский | черта-Сохранение исторической памяти
гиревой | спорт |  | вместе | по | жизнь-Охрана здоровья граждан, пропаганда здорового образа жизни
корень | дружба | наш | народ |  | в | наш | история-Укрепление межнационального и межрелигиозного согласия
межрегиональный | оздоровительный | проект | волна | жизнь-Охрана здоровья граждан, пропаганда здорового образа жизни
школа | сверстникатьютор-Поддержка проектов в области науки, образования, просвещения
олимпиада | школьник | в | начало | быть | слово | как | способ | укрепление | русский | язык | и | российский | культура | за | рубеж-Поддержка проектов в области науки, образования, просвещения
фестиваль | битва | на | тур-Охрана здоровья граждан, пропаганда здорового образа жизни
центр | стерилизация | я |  | ответственный | владелец-Охрана окружающей среды и защита животных
сохранение | ремесленный | традиция | осетия-Поддержка проектов в области культуры и искусства
лаборатория | будущее-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
эконаставник |  | шаг | к | сохранение | природный | наследие | верхневолжье-Охрана окружающей среды и защита животных
каша | мир |  | проект | в | сфера | культурный | национализм-Укрепление межнационального и межрелигиозного согласия
лидер | xxi | век-"Поддержка молодежных проектов, реализация которых охватывает виды деятельности, предусмотренные статьей 31 Федерального закона от 12 января 1996 г. № 7-ФЗ «О некоммерческих организациях»"
открытый | всероссийский | интеллектуальный | олимпиада | наш | наследие | летие | св | кн | александр | невский | золотой | кольцо | россия-Сохранение исторической памяти
русский | север | традиция | преемственность | память-Поддержка проектов в области науки, образования, просвещения
сказительхайдж | пв | курбижек | к | летие | с | день | рождение-Сохранение исторической памяти
мы | память | о | подвиг | ваш | хранить-Сохранение исторической памяти
безопасный | лес-Поддержка проектов в области науки, образования, просвещения
лошадь | дарить | крыло | школа | паралимпийский | конкур | и | доступный | адаптивный | конный | спорт-Социальное обслуживание, социальная поддержка и защита граждан
лагерьинтенсив | для | замещать | семья | время | чудо-Поддержка семьи, материнства, отцовства и детства
учить | ненецкий | перевод | популярный | детский | российский | мультсериал | на | ненецкий | язык-Укрепление межнационального и межрелигиозного согласия
абанпара | культурный | связь | поколение | народ | абаз-Поддержка проектов в области культуры и искусства
вещь | предметный | мир | и | ценность | русский | культура | реконструкция | и | актуализация-Поддержка проектов в области культуры и искусства
оптимизация | адаптивный | физический | воспитание | ребёнок | с | нарушение | интеллект | при | помощь | метод | направить | взаимодействие | с | собака | animal | dog | a-Поддержка проектов в области науки, образования, просвещения
тест | для | победа-Защита прав и свобод человека и гражданина, в том числе защита прав заключенных
у | савка | есть | будущее-Охрана окружающей среды и защита животных
всероссийский | акция | день | короткометражный | кино-Выявление и поддержка молодых талантов в области культуры и искусства
